,7,9,11,13,15
293,199,199,199,199,199
294,199,199,199,199,199
295,199,158,199,199,199
296,199,199,199,199,199
297,65,199,199,199,199
298,199,199,199,199,199
299,199,199,199,199,199
300,199,199,199,199,199
301,199,199,199,199,199
302,29,199,199,199,199
303,53,199,199,199,199
304,199,199,199,199,199
305,199,199,199,199,199
306,199,199,199,199,199
307,199,199,199,199,199
308,199,199,199,199,199
309,199,199,199,199,199
310,199,199,199,199,199
311,199,199,199,199,199
312,115,199,199,199,199
313,199,199,199,199,199
314,199,199,199,199,199
315,199,199,199,199,199
316,199,199,199,199,199
317,199,199,199,199,199
318,199,199,199,199,199
319,199,199,199,199,199
320,199,199,199,199,199
321,199,199,199,199,199
322,199,199,199,199,199
323,199,199,199,199,199
324,199,199,199,199,199
325,199,199,199,199,199
326,199,199,199,199,199
327,199,134,199,199,199
328,199,199,199,199,199
329,199,199,199,199,199
330,4,87,199,199,199
331,199,199,199,199,199
332,23,199,199,199,199
333,168,199,199,199,199
334,199,199,199,199,199
335,199,199,199,199,199
336,199,199,199,199,199
337,55,199,199,199,199
338,11,199,199,199,199
339,199,199,199,199,199
340,18,199,199,199,199
341,199,199,199,199,199
342,199,199,199,199,199
343,199,199,199,199,199
344,199,199,199,199,199
345,199,199,199,199,199
346,199,199,199,199,199
347,199,199,199,199,199
348,90,199,199,199,199
349,199,199,199,199,199
350,199,199,199,199,199
351,137,199,199,199,199
352,19,199,199,199,199
353,199,199,199,199,199
354,199,199,199,199,199
355,199,199,199,199,199
356,199,199,199,199,199
357,199,199,199,199,199
358,199,199,199,199,199
359,112,199,199,199,199
360,199,199,199,199,199
361,199,199,199,199,199
362,199,199,199,199,199
363,16,199,199,199,199
364,199,199,199,199,199
365,199,199,199,199,199
366,44,199,199,199,199
367,197,199,199,199,199
368,42,199,199,199,199
369,199,199,199,199,199
370,199,199,199,199,199
371,199,199,199,199,199
372,17,199,199,199,199
373,199,199,199,199,199
374,52,199,199,199,199
375,199,199,199,199,199
376,36,199,199,199,199
377,59,199,199,199,199
378,199,199,199,199,199
379,199,199,199,199,199
380,199,199,199,199,199
381,199,199,199,199,199
382,199,199,199,199,199
383,199,199,199,199,199
384,199,199,199,199,199
385,77,199,199,199,199
386,199,199,199,199,199
387,199,199,199,199,199
388,199,199,199,199,199
389,199,199,199,199,199
390,199,199,199,199,199
391,199,199,199,199,199
392,199,199,199,199,199
393,199,199,199,199,199
394,36,199,199,199,199
395,9,199,199,199,199
396,199,199,199,199,199
397,199,199,199,199,199
398,199,199,199,199,199
399,199,199,199,199,199
400,199,199,199,199,199
401,199,199,199,199,199
402,199,199,199,199,199
403,199,199,199,199,199
404,199,199,199,199,199
405,199,199,199,199,199
406,199,199,199,199,199
407,199,199,199,199,199
408,199,199,199,199,199
409,199,199,199,199,199
410,199,199,199,199,199
411,199,199,199,199,199
412,199,199,199,199,199
413,199,199,199,199,199
414,199,199,199,199,199
415,199,199,199,199,199
416,199,199,199,199,199
417,199,199,199,199,199
418,199,199,199,199,199
419,199,199,199,199,199
420,41,199,199,199,199
421,199,199,199,199,199
422,137,199,100,199,199
423,199,54,199,199,199
424,199,199,199,199,199
425,199,199,199,199,199
426,13,110,199,199,199
427,199,199,199,199,199
428,199,199,199,199,199
429,73,199,199,199,199
430,199,199,199,199,199
431,199,199,199,199,199
432,110,199,199,199,199
433,165,199,199,199,199
434,199,199,199,199,199
435,54,199,199,199,199
436,145,199,199,199,199
437,199,199,199,199,199
438,199,199,199,199,199
439,199,199,199,199,199
440,199,199,199,199,199
441,199,199,199,199,199
442,199,199,199,199,199
443,199,199,199,199,199
444,199,199,199,199,199
445,80,199,199,199,199
446,199,199,199,199,199
447,199,199,199,199,199
448,199,199,199,199,199
449,199,199,199,199,199
450,199,199,199,199,199
451,199,199,199,199,199
452,62,199,199,199,199
453,199,88,199,199,199
454,199,199,199,199,199
455,199,199,199,199,199
456,22,199,199,199,199
457,199,199,199,199,199
458,189,199,199,199,199
459,199,199,199,199,199
460,199,199,199,199,199
461,199,199,199,199,199
462,199,199,199,199,199
463,199,199,199,199,199
464,199,199,199,199,199
465,199,199,199,199,199
466,36,199,199,199,199
467,199,199,199,199,199
468,199,199,199,199,199
469,199,199,199,199,199
470,199,199,199,199,199
